"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","label_gene","significance","modality"
0.437226915539143,-0.169701246717593,1,1,1,"HLA-E",NA,"NS","surface proteins"
0.444511145831862,0.211991181574701,1,1,1,"KLRG1",NA,"NS","surface proteins"
0.483011572159306,-0.132767590935043,1,1,1,"CD267",NA,"NS","surface proteins"
0.483160967984463,-0.199217660948193,1,1,1,"CD11a",NA,"NS","surface proteins"
0.486766452978286,-0.312483293946457,1,1,1,"CD158e1",NA,"NS","surface proteins"
0.54006390553768,-0.132943469981046,1,1,1,"CD40",NA,"NS","surface proteins"
0.584281828016445,0.209140609784467,1,1,1,"CD69",NA,"NS","surface proteins"
0.601293149115444,-0.129723366979129,1,1,1,"CD5",NA,"NS","surface proteins"
0.642117291450961,-0.193834738866194,1,1,1,"CD39",NA,"NS","surface proteins"
0.678376546398422,-0.106422442143596,1,1,1,"CD169",NA,"NS","surface proteins"
0.686870412898907,-0.102573044932657,1,1,1,"Rat",NA,"NS","surface proteins"
0.710437291084167,-0.10655547915493,1,1,1,"CD105",NA,"NS","surface proteins"
0.727054833297642,-0.140172792499452,1,1,1,"CD27",NA,"NS","surface proteins"
0.830438175205324,-0.104926603656173,1,1,1,"CLEC12A",NA,"NS","surface proteins"
0.883465421564238,-0.183875591383517,1,1,1,"CD101",NA,"NS","surface proteins"
0.991176192701159,0.111159321610603,1,1,1,"CD35",NA,"NS","surface proteins"
4.83955934738842e-21,1.81986531845295,1,1,9.05191180335531e-17,"KLRB1","KLRB1","Up in SKIM
non-MAITs","transcripts"
2.07228841650713e-12,1.85589744409947,1,1,3.87600825423494e-08,"CEBPD","CEBPD","Up in SKIM
non-MAITs","transcripts"
1.80115697530236e-10,1.08213553469618,1,1,3.36888400660553e-06,"LTK","LTK","Up in SKIM
non-MAITs","transcripts"
3.44929265101639e-10,0.366093718643163,1,1,6.45155697446106e-06,"NTN4",NA,"Up in SKIM
non-MAITs","transcripts"
7.22779308964517e-10,-2.03220755057887,1,1,1.35188641948723e-05,"GZMB","GZMB","Down in SKIM
non-MAITs","transcripts"
2.0246524929201e-09,0.87256024915078,1,1,3.78691002275775e-05,"ZBTB16",NA,"Up in SKIM
non-MAITs","transcripts"
9.61107296554152e-09,1.19313198421634,1,1,0.000179765508747489,"CCR6","CCR6","Up in SKIM
non-MAITs","transcripts"
1.26005359443064e-08,-1.04278061083448,0.75,1,0.000235680424302307,"CCL3","CCL3","Down in SKIM
non-MAITs","transcripts"
2.6451130524818e-08,0.446498439349899,0.875,1,0.000494741945336197,"IL4I1",NA,"Up in SKIM
non-MAITs","transcripts"
4.24657624217491e-08,0.526371152334416,1,1,0.000794279620336396,"SESN1",NA,"Up in SKIM
non-MAITs","transcripts"
1.25179726555912e-07,0.624780749764337,1,1,0.00234136160550177,"ELOVL4",NA,"Up in SKIM
non-MAITs","transcripts"
4.17357740312893e-07,0.841078318757293,1,1,0.00780625917481235,"CD40LG",NA,"Up in SKIM
non-MAITs","transcripts"
5.37381515407409e-07,0.51066865611622,1,1,0.0100511838641802,"PHACTR2",NA,"Up in SKIM
non-MAITs","transcripts"
5.59763577910138e-07,-1.08579121317662,1,1,0.0104698179612312,"TTC38","TTC38","Down in SKIM
non-MAITs","transcripts"
1.95196306286776e-06,0.673610347423863,1,1,0.0365095171278787,"KIF5C",NA,"Up in SKIM
non-MAITs","transcripts"
2.92990208315263e-06,-1.17048854587144,0.625,1,0.0548008885632867,"PRSS23",NA,"NS","transcripts"
6.04541979242101e-06,0.443758975978394,0.875,1,0.113073531797443,"ME1",NA,"NS","transcripts"
6.66374503687028e-06,-0.391214649225827,0,1,0.124638687169622,"NOG",NA,"NS","transcripts"
7.65560488310238e-06,-0.854342551568375,0.375,1,0.143190433733547,"LYZ",NA,"NS","transcripts"
9.52112207639097e-06,0.961339848145538,0.875,1,0.178083067316817,"CA2",NA,"NS","transcripts"
9.90519672907969e-06,0.519399132884419,1,1,0.185266799620706,"OSM",NA,"NS","transcripts"
1.01392717987945e-05,0.0299616862936851,0.375,0.375,0.189644939724651,"PKD1L1",NA,"NS","transcripts"
1.35025472767616e-05,0.269348005301607,0.75,1,0.252551644264548,"ROR2",NA,"NS","transcripts"
1.44760141576085e-05,0.67827634945076,1,1,0.270759368803909,"IL18RAP",NA,"NS","transcripts"
1.59955015387296e-05,0.677466656646777,1,1,0.299179860780398,"CXCR6",NA,"NS","transcripts"
1.9003468652233e-05,0.594342076411367,0.875,1,0.355440877671366,"WNT11",NA,"NS","transcripts"
2.22795761724214e-05,0.793243486677414,1,1,0.416717192728969,"LST1",NA,"NS","transcripts"
2.23586481908135e-05,0.420562355729937,1,1,0.418196155760977,"TTC39C",NA,"NS","transcripts"
2.27260341145773e-05,-0.554704868287086,0.875,1,0.425067742079053,"CLEC11A",NA,"NS","transcripts"
4.34397284592325e-05,0.142006245921201,0.5,1,0.812496681101484,"EDN3",NA,"NS","transcripts"
4.48982246689237e-05,-1.46266935304744,1,1,0.839776394207549,"FGFBP2",NA,"NS","transcripts"
4.57330120112346e-05,0.615510929509494,1,1,0.855390256658131,"GATA3",NA,"NS","transcripts"
4.87089390113708e-05,0.702319596566861,0.875,1,0.911051995268679,"TLE1",NA,"NS","transcripts"
5.19984232041005e-05,0.378098744508793,1,1,0.972578507609495,"XBP1",NA,"NS","transcripts"
5.97009312849916e-05,0.0374761830075503,0.25,0.375,1,"CCDC89",NA,"NS","transcripts"
6.05080508682395e-05,0.94313122662721,1,1,1,"SLC4A10",NA,"NS","transcripts"
6.35253822097175e-05,0.144882231880058,0.625,1,1,"MATN2",NA,"NS","transcripts"
6.69862159469563e-05,-0.540479457140587,1,1,1,"YPEL2",NA,"NS","transcripts"
6.76016514589982e-05,0.0611093987726354,0.375,0.625,1,"ADGRE3",NA,"NS","transcripts"
8.62446442149214e-05,0.517267110992337,1,1,1,"CYB561",NA,"NS","transcripts"
9.01618880015912e-05,-0.487209194925898,1,1,1,"TTN",NA,"NS","transcripts"
9.2817873694046e-05,0.247566652276163,0.625,1,1,"P2RY14",NA,"NS","transcripts"
0.000100387195586656,0.0759817299714074,0.375,0.75,1,"OR1I1",NA,"NS","transcripts"
0.000102494097814671,0.213855349126459,0.875,1,1,"GPR146",NA,"NS","transcripts"
0.00010666264369194,0.107731457979413,0.5,1,1,"ADAM23",NA,"NS","transcripts"
0.000106883533590449,0.0390335060570046,0.25,0.125,1,"CA9",NA,"NS","transcripts"
0.000119415220990435,0.557920310425605,1,1,1,"PRNP",NA,"NS","transcripts"
0.000124852819901739,0.51886037183143,1,1,1,"BHLHE40",NA,"NS","transcripts"
0.00014419003250868,0.0974108139438119,0.5,1,1,"KCTD15",NA,"NS","transcripts"
